Date,Open,High,Low,Close,Adj Close,Volume
2024-02-01,3100.000000,3130.000000,3090.000000,3100.000000,3100.000000,12723500
2024-02-02,3100.000000,3200.000000,3100.000000,3170.000000,3170.000000,18042600
2024-02-05,3190.000000,3240.000000,3180.000000,3200.000000,3200.000000,16177900
2024-02-06,3220.000000,3270.000000,3170.000000,3250.000000,3250.000000,14521500
2024-02-07,3250.000000,3280.000000,3240.000000,3270.000000,3270.000000,12311500
2024-02-12,3170.000000,3170.000000,2920.000000,2920.000000,2920.000000,82247100
2024-02-13,2920.000000,2930.000000,2800.000000,2800.000000,2800.000000,56546400
2024-02-15,2860.000000,2940.000000,2830.000000,2930.000000,2930.000000,37986300
2024-02-16,2930.000000,2940.000000,2830.000000,2830.000000,2830.000000,22773700
2024-02-19,2830.000000,2870.000000,2800.000000,2800.000000,2800.000000,19247100
