Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8500.000000,8700.000000,8500.000000,8550.000000,7562.691406,11059800
2020-01-03,8675.000000,8675.000000,8550.000000,8575.000000,7584.804688,8071700
2020-01-06,8575.000000,8600.000000,8350.000000,8475.000000,7496.352051,7913300
2020-01-07,8475.000000,8500.000000,8400.000000,8450.000000,7474.239746,5793000
2020-01-08,8450.000000,8450.000000,8275.000000,8325.000000,7363.673340,8261400
2020-01-09,8350.000000,8425.000000,8250.000000,8350.000000,7385.786621,9224300
2020-01-10,8400.000000,8400.000000,8250.000000,8250.000000,7297.333496,14849800
2020-01-13,8275.000000,8400.000000,8275.000000,8400.000000,7430.013184,8904800
2020-01-14,8400.000000,8500.000000,8300.000000,8475.000000,7496.352051,11761100
2020-01-15,8475.000000,8525.000000,8350.000000,8475.000000,7496.352051,14965200
2020-01-16,8475.000000,8475.000000,8350.000000,8425.000000,7452.126465,9151100
2020-01-17,8425.000000,8425.000000,8350.000000,8400.000000,7430.013184,5501800
2020-01-20,8400.000000,8425.000000,8325.000000,8325.000000,7363.673340,5343800
2020-01-21,8325.000000,8375.000000,8300.000000,8325.000000,7363.673340,5211000
2020-01-22,8375.000000,8375.000000,8225.000000,8300.000000,7341.559570,4975800
2020-01-23,8300.000000,8375.000000,8275.000000,8325.000000,7363.673340,3400500
2020-01-24,8325.000000,8325.000000,8150.000000,8175.000000,7230.994629,7927900
2020-01-27,8175.000000,8300.000000,8075.000000,8275.000000,7319.447266,7078300
2020-01-28,8275.000000,8300.000000,8100.000000,8250.000000,7297.333496,8825000
2020-01-29,8250.000000,8300.000000,8225.000000,8250.000000,7297.333496,4723100
2020-01-30,8250.000000,8250.000000,8150.000000,8225.000000,7275.221191,4297800
2020-01-31,8225.000000,8225.000000,7950.000000,7950.000000,7031.976563,17743300
2020-02-03,7950.000000,8075.000000,7800.000000,7850.000000,6943.524414,8731500
2020-02-04,7850.000000,7950.000000,7850.000000,7875.000000,6965.637207,8182500
2020-02-05,7900.000000,8100.000000,7850.000000,8100.000000,7164.654785,7284300
2020-02-06,8100.000000,8100.000000,7950.000000,7950.000000,7031.976563,10884300
2020-02-07,7950.000000,7975.000000,7900.000000,7900.000000,6987.750488,11461800
2020-02-10,7900.000000,7925.000000,7800.000000,7875.000000,6965.637207,6277000
2020-02-11,7850.000000,7875.000000,7825.000000,7850.000000,6943.524414,5773900
2020-02-12,7825.000000,7850.000000,7575.000000,7600.000000,6722.392090,17269400
2020-02-13,7575.000000,7600.000000,7350.000000,7400.000000,6545.487793,13678700
2020-02-14,7400.000000,7625.000000,7300.000000,7475.000000,6611.826660,8792800
