Date,Open,High,Low,Close,Adj Close,Volume
2024-06-03,2240.000000,2270.000000,2200.000000,2230.000000,2230.000000,37069500
2024-06-04,2240.000000,2330.000000,2240.000000,2280.000000,2280.000000,42763000
2024-06-05,2280.000000,2310.000000,2230.000000,2260.000000,2260.000000,17675600
2024-06-06,2240.000000,2260.000000,2150.000000,2190.000000,2190.000000,37665500
2024-06-07,2180.000000,2240.000000,2170.000000,2180.000000,2180.000000,17291900
2024-06-10,2170.000000,2170.000000,2090.000000,2130.000000,2130.000000,23351900
2024-06-11,2130.000000,2190.000000,2120.000000,2170.000000,2170.000000,16401500
2024-06-12,2160.000000,2170.000000,2120.000000,2150.000000,2150.000000,8102600
2024-06-13,2190.000000,2290.000000,2170.000000,2280.000000,2280.000000,33478400
2024-06-14,2290.000000,2300.000000,2230.000000,2280.000000,2280.000000,36542200
